amount,payment_method,failure_reason,customer_success_rate,retry_count,day_of_week,hour_of_day,is_recovered
1802.11,UPI,invalid_payment_details,0.6923921148334804,3,2,23,0
955.02,NETBANKING,account_issue,0.34236829797208684,0,1,3,0
2095.8,UPI,network_error,0.968340979443035,2,6,9,0
5029.27,CARD,insufficient_balance,0.6445755104495482,1,0,13,0
867.7,UPI,insufficient_balance,0.7943277276052692,0,0,20,1
867.71,UPI,insufficient_balance,0.7204058635772193,0,1,7,1
5319.92,NETBANKING,insufficient_balance,0.8792362137746678,1,4,7,1
2362.4,NETBANKING,insufficient_balance,0.6432859157929642,1,4,18,1
685.76,UPI,bank_timeout,0.5599797817165509,3,6,5,1
1886.65,NETBANKING,insufficient_balance,0.8510713548697921,0,5,23,0
689.92,UPI,insufficient_balance,0.8595864473459748,1,0,15,0
688.33,CARD,account_issue,0.8527160238060116,1,4,5,0
1396.83,UPI,insufficient_balance,0.7521047155404104,2,2,1,0
161.86,UPI,insufficient_balance,0.5128993475089187,1,0,22,1
195.41,CARD,bank_timeout,0.8379363520181725,2,1,8,1
624.98,UPI,insufficient_balance,0.6316652849468295,0,1,16,0
398.29,UPI,temporary_bank_error,0.9099226782751981,0,3,3,1
1501.54,UPI,network_error,0.5251942363123504,0,4,7,1
442.29,UPI,bank_timeout,0.8988214388804822,1,6,0,1
267.12,CARD,insufficient_balance,0.6599673295711166,1,0,4,0
4748.81,UPI,insufficient_balance,0.9148202950791209,3,1,16,0
875.0,CARD,network_error,0.632635462967564,0,2,2,1
1173.24,UPI,temporary_bank_error,0.5183744810919585,1,0,5,1
263.82,UPI,bank_timeout,0.7276938003013999,0,5,15,1
636.27,UPI,network_error,0.7323698623792328,0,1,23,1
1225.28,CARD,insufficient_balance,0.7784852654087155,2,3,15,0
346.89,UPI,network_error,0.8354783573291185,1,0,3,1
1596.71,UPI,insufficient_balance,0.6719146443709885,1,4,9,0
601.46,UPI,insufficient_balance,0.6588556549733512,0,0,4,0
819.18,CARD,bank_timeout,0.5345700410552777,0,0,3,0
600.82,UPI,insufficient_balance,0.8699924704827107,2,0,9,0
6990.3,CARD,account_issue,0.6553423621699542,1,6,18,0
1081.93,UPI,temporary_bank_error,0.5996083248371259,3,5,20,0
380.81,UPI,insufficient_balance,0.8171346168802939,1,4,21,0
2496.25,UPI,insufficient_balance,0.7009873531673719,2,3,1,1
323.49,UPI,insufficient_balance,0.8754544564419718,0,3,23,0
1351.36,UPI,insufficient_balance,0.6755690367328017,2,1,17,0
154.52,NETBANKING,bank_timeout,0.8403181748444027,2,2,15,0
290.56,UPI,insufficient_balance,0.7732814238021783,0,3,0,0
1335.23,UPI,network_error,0.8395543782798591,1,5,0,1
2294.95,UPI,network_error,0.6382112070835791,2,6,13,1
1301.62,UPI,insufficient_balance,0.78649987958678,2,3,3,0
976.87,UPI,network_error,0.6369650304935903,1,5,13,0
811.51,CARD,temporary_bank_error,0.6894631665017178,1,6,19,1
250.0,UPI,insufficient_balance,0.3773924930709943,4,5,16,0
533.87,CARD,bank_timeout,0.697038961946443,0,0,21,0
691.84,UPI,network_error,0.4959461323496669,0,2,1,0
3156.19,UPI,account_issue,0.7078014105788967,1,3,7,0
1546.3,UPI,insufficient_balance,0.4656610435802505,1,4,13,0
188.1,UPI,invalid_payment_details,0.9118650300728723,2,3,7,0
1516.38,UPI,bank_timeout,0.5522662088209326,0,1,5,0
746.14,UPI,bank_timeout,0.755043761867453,0,0,17,1
557.29,UPI,account_issue,0.9111193087107496,0,6,3,0
2021.66,CARD,temporary_bank_error,0.7895947370438654,2,3,20,1
3074.81,UPI,invalid_payment_details,0.258755266776297,1,5,10,0
2782.99,CARD,temporary_bank_error,0.7593327106037813,1,4,5,0
473.8,UPI,insufficient_balance,0.5621460405530349,0,4,23,1
